program_id,name,organisation,program_type,geography,stage_fit,standard_terms,website,application_url,fit_rationale,priority,is_active,source_url,verification_status,notes
pg_yc,Y Combinator,Y Combinator,Accelerator,"US (San Francisco)","Pre-seed,Seed","Standard deal, publicly documented on the YC site. Confirm current terms before applying.",https://www.ycombinator.com,https://www.ycombinator.com/apply,"Broadest investor access of any programme, and the fastest route to a competitive seed round. Four batches a year means the timing cost of applying is low.",High,1,https://www.ycombinator.com/apply,VERIFIED,"Batch runs January to March in San Francisco with a three-day in-person kick-off. Late applications are still reviewed but without a guaranteed response time."
pg_pearx,PearX,Pear VC,Accelerator,"US (Bay Area)","Pre-seed,Seed","Confirm current terms on the Pear site.",https://pear.vc,https://pear.vc/pearx-application/,"Pre-seed focused with hands-on partner involvement. Two cohorts a year, winter roughly January to April and summer roughly July to October.",High,1,https://pear.vc/pearx/,VERIFIED,"Runs an early deadline ahead of the regular one - applying early is usually worth it."
pg_a16z_speedrun,a16z Speedrun,Andreessen Horowitz,Accelerator,"US (San Francisco)","Pre-seed,Seed","Confirm current cheque and terms on the programme site.",https://a16z.com/speedrun/,https://a16z.com/speedrun/,"AI-native programme with a large standard cheque and direct access to a multistage firm that could lead the next round.",High,1,https://a16z.com/speedrun/,UNVERIFIED,"Confirm the current cohort deadline - the cadence has changed between cycles."
pg_spc,South Park Commons Founder Fellowship,South Park Commons,Fellowship,"US (San Francisco, New York)","Pre-idea,Pre-seed","Confirm current terms on the SPC site.",https://www.southparkcommons.com,https://www.southparkcommons.com/founder-fellowship,"Community-led fellowship suited to founders still shaping the wedge. Strong technical network.",Medium,1,https://www.southparkcommons.com/founder-fellowship,UNVERIFIED,"Rolling rather than strictly batched in some cycles - confirm."
pg_neo,Neo Accelerator,Neo,Accelerator,US,"Pre-seed,Seed","Confirm current terms on the Neo site.",https://neo.com,https://neo.com/accelerator,"Small, selective, strong engineering network.",Medium,1,https://neo.com/accelerator,UNVERIFIED,""
pg_alchemist,Alchemist Accelerator,Alchemist,Accelerator,US,"Pre-seed,Seed","Confirm current terms on the Alchemist site.",https://www.alchemistaccelerator.com,https://www.alchemistaccelerator.com/apply,"Explicitly enterprise and B2B focused, which matches a company selling into multi-location operators.",Medium,1,https://www.alchemistaccelerator.com/apply,UNVERIFIED,""
pg_forum,Forum Ventures,Forum Ventures,Accelerator,"US, Canada","Pre-seed,Seed","Confirm current terms on the Forum site.",https://www.forumvc.com,https://www.forumvc.com/accelerator,"B2B SaaS specific with a go-to-market focused curriculum.",Medium,1,https://www.forumvc.com/accelerator,UNVERIFIED,""
pg_mucker,MuckerLab,Mucker Capital,Accelerator,"US (Los Angeles)","Pre-seed,Seed","Confirm current terms on the Mucker site.",https://www.mucker.com,https://www.mucker.com/muckerlab,"Operator-heavy, comfortable with non-Bay-Area and services-adjacent go-to-market.",Low,1,https://www.mucker.com/muckerlab,UNVERIFIED,""
pg_techstars,Techstars,Techstars,Accelerator,Global,"Pre-seed,Seed","Confirm current terms - they vary by programme.",https://www.techstars.com,https://www.techstars.com/accelerators,"Only worth it for a vertically relevant programme with the right mentor pool.",Low,1,https://www.techstars.com/accelerators,UNVERIFIED,"Programme quality varies significantly by city and vertical. Pick the specific programme, not the brand."
pg_surge,Surge,Peak XV Partners,Accelerator,"India, Southeast Asia, cross-border","Pre-seed,Seed","Confirm current terms on the Surge site.",https://www.peakxv.com/surge/,https://www.peakxv.com/surge/,"The main India-corridor programme, and a direct route into Peak XV for a later round.",Medium,1,https://www.peakxv.com/surge/,UNVERIFIED,"Confirm whether a US-incorporated entity with US-only customers is in mandate."
pg_antler,Antler US,Antler,Accelerator,US,"Pre-idea,Pre-seed","Confirm current terms on the Antler site.",https://www.antler.co,https://www.antler.co/apply,"Best suited to team formation rather than a company already building.",Low,1,https://www.antler.co/apply,UNVERIFIED,""
pg_nvidia_inception,NVIDIA Inception,NVIDIA,Non-dilutive,Global,Any,"No equity. Credits, hardware pricing and technical support.",https://www.nvidia.com/en-us/startups/,https://www.nvidia.com/en-us/startups/,"Free, non-dilutive, and useful if inference cost is material.",Medium,1,https://www.nvidia.com/en-us/startups/,UNVERIFIED,"Rolling applications - no deadline to track."
pg_msft_founders,Microsoft for Startups Founders Hub,Microsoft,Non-dilutive,Global,Any,"No equity. Azure and OpenAI credits, tooling.",https://www.microsoft.com/en-us/startups,https://www.microsoft.com/en-us/startups,"Non-dilutive credits that meaningfully reduce burn during the raise.",Medium,1,https://www.microsoft.com/en-us/startups,UNVERIFIED,"Rolling applications."
pg_aws_activate,AWS Activate,Amazon Web Services,Non-dilutive,Global,Any,"No equity. AWS credits and support.",https://aws.amazon.com/activate/,https://aws.amazon.com/activate/,"Non-dilutive credits. Larger tiers require a referral from an approved investor or accelerator.",Medium,1,https://aws.amazon.com/activate/,UNVERIFIED,"Rolling applications. The credit tier depends on who refers you - worth asking an investor for the referral."
pg_google_startups,Google for Startups Cloud Program,Google,Non-dilutive,Global,Any,"No equity. Google Cloud credits.",https://cloud.google.com/startup,https://cloud.google.com/startup,"Non-dilutive credits.",Low,1,https://cloud.google.com/startup,UNVERIFIED,"Rolling applications."
