source_id,name,source_type,url,access,covers,refresh_cadence,reliability,notes
src_form_d,SEC Form D filings (EDGAR),Regulatory,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany,Free,"New fund vehicle closes, fund sizes, entity names. The primary source for fund vintage and capacity.",Weekly,High,"The single best free source for 'have they just raised a new fund'. Search the management company name."
src_form_adv,SEC Form ADV / IAPD,Regulatory,https://adviserinfo.sec.gov,Free,"Registered adviser AUM, ownership, control persons.",Quarterly,High,"Useful for larger firms. Many early-stage funds are exempt reporting advisers with thinner filings."
src_firm_site,Firm website and portfolio pages,Firm Site,,Free,"Stated thesis, current portfolio, partner roster, contact route.",Monthly,High,"The authoritative source for portfolio and partner lists. Always the first check for a conflict."
src_firm_thesis,Firm published theses and memos,Firm Site,,Free,"What they say they are looking for, in their own words.",Monthly,High,"Read before the first call. Quote it back to them."
src_crunchbase,Crunchbase,Database,https://www.crunchbase.com,Freemium,"Deal history, co-investors, round sizes, investor pace.",Weekly,Medium,"Good for pace and co-investor graphs; coverage of small rounds is patchy."
src_pitchbook,PitchBook,Database,https://pitchbook.com,Paid,"Fund vintages, dry powder estimates, deal terms, partner deal attribution.",Weekly,High,"The most complete paid option. Worth a trial during an active raise."
src_dealroom,Dealroom,Database,https://dealroom.co,Freemium,"Deal and fund data with reasonable non-US coverage.",Weekly,Medium,"Useful for the India-corridor funds where US databases are thin."
src_tracxn,Tracxn,Database,https://tracxn.com,Freemium,"India and cross-border fund and deal coverage.",Weekly,Medium,"Better than most US databases for India-based funds."
src_signal_nfx,Signal by NFX,Database,https://signal.nfx.com,Free,"Partner-level stage and sector focus, warm-intro path discovery.",Monthly,Medium,"Fastest way to find which partner at a firm owns a thesis."
src_openvc,OpenVC,Database,https://www.openvc.app,Freemium,"Cheque sizes, stage, geography and whether a fund is open to cold inbound.",Monthly,Medium,"Self-reported by funds - treat cheque ranges as indicative."
src_techcrunch,TechCrunch,Press,https://techcrunch.com,Free,"Fund closes, financings, personnel moves.",Daily,Medium,"Good for the 'In the News' feed. Confirm figures against filings."
src_axios_prorata,Axios Pro Rata,Press,https://www.axios.com/newsletters/pro-rata,Freemium,"Daily venture deal and fund news.",Daily,Medium,"Efficient daily scan for fund closes and partner moves."
src_strictlyvc,StrictlyVC,Press,https://www.strictlyvc.com,Free,"Fund news and investor interviews.",Daily,Medium,""
src_the_information,The Information,Press,https://www.theinformation.com,Paid,"Fund performance, LP sentiment, partner departures ahead of the wire.",Daily,High,"Often the earliest signal that a firm is in trouble or between funds."
src_linkedin,LinkedIn,Community,https://www.linkedin.com,Free,"Partner hires and departures, title changes, shared connections for intros.",Weekly,Medium,"The most reliable early signal on personnel changes. Also the practical warm-intro finder."
src_x_founders,Founder and investor networks on X,Community,https://x.com,Free,"Stated theses, live commentary, who is actively deploying.",Daily,Low,"Directional only. Never a citation."
src_alphasense,AlphaSense / Tegus,Expert Network,https://www.alpha-sense.com,Paid,"Expert call transcripts and research synthesis on the categories investors will diligence.",Monthly,High,"Investors may run expert diligence on us. Knowing what the corpus already says is worth the subscription during a raise."
src_third_bridge,Third Bridge,Expert Network,https://www.thirdbridge.com,Paid,"Analyst-led interviews and transcript library covering restaurant, delivery and ad-platform ecosystems.",Monthly,High,"Publishes research directly adjacent to the platform-risk objection."
src_glg,GLG,Expert Network,https://glginsights.com,Paid,"Custom expert calls, pricing and willingness-to-pay research.",Monthly,High,"The route to independent willingness-to-pay evidence."
src_guidepoint,Guidepoint,Expert Network,https://www.guidepoint.com,Paid,"Expert transcripts and rapid customer and competitor reference checks.",Monthly,High,""
src_newtonx,NewtonX,Expert Network,https://www.newtonx.com,Paid,"Verified B2B quantitative panels - TAM, buyer demand and willingness to pay.",Quarterly,High,"Best source for independent quantitative proof of buyer demand."
src_founder_refs,References from their portfolio founders,Relationship,,Relationship,"How the firm actually behaves after the wire: support, follow-on, board conduct.",Per firm,High,"The highest-value source and the one most founders skip. Ask for two names they did not offer."
src_lp_network,LP and fund-of-funds contacts,Relationship,,Relationship,"Whether a fund is actually deploying, and its remaining reserves.",Per firm,Medium,"Hard to access but decisive on timing."
