opportunity_id,round_id,firm_id,lead_contact_id,stage,status,priority_override,allocation_ask_usd_k,soft_circled_usd_k,committed_usd_k,probability_pct,first_contact_date,last_touch_date,next_action,next_action_date,owner,pass_reason,notes,application_status,application_started_on,application_submitted_on,application_deadline,decision_status,decision_next_gate,decision_expected
opp_menlo,round_seed,f_menlo,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_accel,round_seed,f_accel,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_greylock,round_seed,f_greylock,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_bessemer,round_seed,f_bessemer,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_emergence,round_seed,f_emergence,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_craft,round_seed,f_craft,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_costanoa,round_seed,f_costanoa,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_bowery,round_seed,f_bowery,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_forerunner,round_seed,f_forerunner,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_cleveland,round_seed,f_cleveland,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_nexus,round_seed,f_nexus,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_peakxv,round_seed,f_peakxv,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_together,round_seed,f_together,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_stellaris,round_seed,f_stellaris,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_prime,round_seed,f_prime,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_avataar,round_seed,f_avataar,,Researching,Active,,,0,0,3,,,Identify the partner who owns this thesis and a warm path in,,,,Seeded as a research target. Nothing has been sent.,Not applicable,,,,Unknown,,
opp_workbench,round_seed,f_workbench,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_base10,round_seed,f_base10,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_kindred,round_seed,f_kindred,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_bonfire,round_seed,f_bonfire,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_signalfire,round_seed,f_signalfire,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_eniac,round_seed,f_eniac,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_zetta,round_seed,f_zetta,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_gradient,round_seed,f_gradient,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_aifund,round_seed,f_aifund,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_spc,round_seed,f_spc,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_pear,round_seed,f_pear,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_afore,round_seed,f_afore,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_unusual,round_seed,f_unusual,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_firstround,round_seed,f_firstround,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_amplify,round_seed,f_amplify,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_wing,round_seed,f_wing,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_boldstart,round_seed,f_boldstart,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_susa,round_seed,f_susa,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_initialized,round_seed,f_initialized,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_floodgate,round_seed,f_floodgate,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_true,round_seed,f_true,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
