signal_id,signal,category,why_it_matters,where_to_find,source_id,good_looks_like,bad_looks_like,is_required,sort_order
sig_fund_vintage,Current fund vintage and close date,Capacity,"A fund in year one deploys. A fund in year six is managing reserves and will take the meeting without being able to act on it.","Search the management company on EDGAR for a recent Form D, then confirm against the firm's own announcement.",src_form_d,"Fund closed within the last two to three years.","No new vehicle in five or more years, or a close that was announced but never filed.",1,10
sig_dry_powder,Estimated remaining deployable capital,Capacity,"Determines whether they can write the cheque at all, and whether they can follow on.","Fund size minus disclosed deployments, or a paid database estimate.",src_pitchbook,"Clear headroom relative to fund size and stated pace.","Late in the fund with most capital called.",0,20
sig_check_size,Typical first cheque at our stage,Capacity,"Our ask has to sit inside their normal range or the conversation cannot converge.","Firm site, OpenVC, and the last several announced rounds at our stage.",src_openvc,"Our ask sits mid-range for them.","Our ask is below their minimum - we would be a rounding error and get no attention.",1,30
sig_leads,"Do they lead, or only follow?",Process,"A round needs someone to price it. Filling a pipeline with followers produces a lot of meetings and no term sheet.","Recent announced rounds: were they named as lead?",src_crunchbase,"Led priced rounds at our stage in the last year.","Only ever participates; no pricing history.",1,40
sig_recent_pace,New investments announced in the last two quarters,Timing,"Distinguishes a firm that is deploying from one that is quietly paused.","Crunchbase or Dealroom deal feed, filtered by date.",src_crunchbase,"Steady cadence of new, not just follow-on, investments.","Only follow-ons, or nothing new for two quarters.",1,50
sig_thesis_public,Published thesis on applied AI in marketing or vertical AI,Thesis Fit,"Tells us whether we are explaining a category or joining a conversation they are already having.","Firm blog, published roadmaps, partner posts and podcast appearances.",src_firm_thesis,"They have written about decisioning, agents or measurement.","No stated view; we would be doing the category education.",1,60
sig_relevant_portfolio,"Portfolio companies in martech, restaurant tech or CPG commerce",Thesis Fit,"Evidence they already understand the buyer, the budget and the sales cycle.","The firm's own portfolio page, checked company by company.",src_firm_site,"Two or more genuinely adjacent companies.","Nothing in the category - every objection will be first-principles.",1,70
sig_conflict,Any investment in a company on our competitor watchlist,Risk,"We do not take meetings with funds that have backed a competitor. It leaks strategy and wastes the slot.","The firm's portfolio page against the competitor watchlist in this CRM.",src_firm_site,"Nothing on the watchlist.","A confirmed investment in a Blocking competitor - do not engage.",1,80
sig_partner_owner,Which specific partner would own this,Process,"Firms do not invest; partners do. Without a named sponsor there is no process.","Signal by NFX, LinkedIn, and the partner's own writing and deal history.",src_signal_nfx,"A named partner with matching deal history and a warm path to them.","No obvious owner, or the only fit is an associate.",1,90
sig_partner_moves,"Recent partner hires or departures",Risk,"A departing partner strands their deals. A new partner is often hunting for a first cheque to prove out.","LinkedIn, the firm's team page, and the trade press.",src_linkedin,"A newly promoted or newly joined partner building a book in our category.","Our likely sponsor has just left or moved to a part-time role.",0,100
sig_decision_process,"How decisions get made, and how long it takes",Process,"Determines whether they can move inside our close window.","Ask them directly on the first call, and confirm with their founders.",src_founder_refs,"Small partnership, decision in weeks, clear steps.","Multi-stage committee, offshore IC, no stated timeline.",0,110
sig_reserve_policy,Follow-on reserve policy,Capacity,"Whether they can support the next round matters more than the first cheque.","Ask directly; confirm with portfolio founders.",src_founder_refs,"Explicit reserves and a track record of following on.","No reserves, or follow-on only for outliers.",0,120
sig_board_stance,"Board seat expectations and governance terms",Process,"Shapes the terms conversation before it starts.","Ask directly; check their standard documents with counsel.",src_founder_refs,"Terms consistent with market for our stage.","Unusual control terms or a board seat at seed with a small cheque.",0,130
sig_geo_mandate,Will they invest in a US-incorporated company with this founder base?,Thesis Fit,"Several India-based funds invest in US entities and several do not. This decides whether the whole conversation is possible.","The firm's own statements, plus their existing US-incorporated investments.",src_firm_site,"Existing US-incorporated portfolio companies.","India-domiciled mandate only, or LP constraints preventing it.",1,140
sig_founder_refs,References from two of their founders they did not introduce,Risk,"How a firm behaves after the wire is the part no pitch reveals.","Find portfolio founders directly rather than accepting their reference list.",src_founder_refs,"Consistent, specific, unprompted positives - especially about a hard moment.","Hedged answers, or founders who will not take the call.",0,150
sig_lp_base,LP base and any strategic constraints,Risk,"Strategic or corporate LPs can create information and conflict problems downstream.","Form ADV, press coverage, and direct questions.",src_form_adv,"Institutional LP base with no strategic overlap.","Corporate LPs that compete with our customers or partners.",0,160
sig_out_of_market,Signals the firm is effectively out of the market,Timing,"Saves the highest-cost mistake: a full process with a fund that cannot invest.","Deal pace, partner departures, absence of a new fund, and trade press.",src_the_information,"Actively announcing new investments.","No new deals, partners leaving, no new fund, and evasive answers on timing.",1,170
