document_id,name,category,location,confidentiality,version,owner,updated_on,is_ready,notes
doc_deck,Investor deck,Deck,,Standard,,,,0,"The version you send. Keep it separate from the version you present."
doc_deck_appendix,Deck appendix,Deck,,Standard,,,,0,"Detail that would slow the main deck: architecture, unit economics workings, competitive map."
doc_onepager,One-pager / teaser,Deck,,Public,,,,0,"What a warm introducer forwards. Must stand alone without you in the room."
doc_model,Financial model,Financials,,Restricted,,,,0,"Driver-based, with assumptions on their own tab and clearly labelled."
doc_hist_financials,Historical financials,Financials,,Restricted,,,,0,"P&L and bank statements to date."
doc_cap_table,Capitalisation table,Financials,,Restricted,,,,0,"Current and pro-forma, including the option pool."
doc_prior_docs,Prior financing documents,Legal,,Restricted,,,,0,"Every SAFE, note and side letter issued to date."
doc_incorporation,Incorporation and governance documents,Legal,,Restricted,,,,0,"Certificate of incorporation, bylaws, board consents."
doc_ip_assignment,IP assignment and contractor agreements,Legal,,Restricted,,,,0,"Every founder, employee and contractor. The most common diligence gap."
doc_customer_contracts,Customer contracts and order forms,Legal,,Restricted,,,,0,"Including any design-partner or pilot agreements."
doc_product_demo,Product demo recording,Product,,Standard,,,,0,"Five minutes, no slides, real product."
doc_architecture,Technical architecture overview,Product,,Standard,,,,0,"How data flows from systems of record through decisioning to execution."
doc_roadmap,Product roadmap,Product,,Standard,,,,0,"Next four quarters, tied to what each stage of autonomy requires."
doc_security,Security and data handling overview,Product,,Standard,,,,0,"Expect this early from anyone whose portfolio handles customer transaction data."
doc_market,Market sizing and segmentation,Market,,Standard,,,,0,"Bottom-up, with the assumptions visible."
doc_competitive,Competitive landscape,Market,,Standard,,,,0,"Include agencies, internal teams and platform-native automation - not only startups."
doc_platform_risk,Platform risk memo,Market,,Standard,,,,0,"The written answer to 'why will the platforms not do this themselves?'. Write it before you are asked."
doc_customer_evidence,Customer interviews and evidence log,Customer,,Standard,,,,0,"Every claim in the deck mapped to the evidence behind it."
doc_references,Customer reference list,Customer,,Restricted,,,,0,"Named references, with permission secured in advance."
doc_pipeline,Sales pipeline,Customer,,Restricted,,,,0,"Current pipeline with stage and expected value."
doc_team_bios,Team bios and org plan,Team,,Standard,,,,0,"Who is here, who you hire with this round, and why in that order."
doc_hiring_plan,Hiring plan,Team,,Standard,,,,0,"Roles, timing and cost, reconciled with the financial model."
