contact_id,firm_id,full_name,title,seniority,is_decision_maker,focus_areas,email,linkedin_url,source_url,verification_status,notes
c_menlo_murphy,f_menlo,Matt Murphy,Partner,Partner,1,"AI, SaaS, infrastructure",,https://www.linkedin.com/search/results/people/?keywords=Matt%20Murphy%20Menlo%20Ventures,https://menlovc.com/team/,VERIFIED,"Primary thesis owner candidate; confirm current portfolio conflicts before outreach."
c_accel_aylward,f_accel,Casey Aylward,Investor,Investor,1,"Early stage, AI, cloud/SaaS, security",,https://www.linkedin.com/search/results/people/?keywords=Casey%20Aylward%20Accel,https://www.accel.com/people,VERIFIED,"Official people page matches early-stage AI and cloud/SaaS."
c_greylock_riley,f_greylock,Corinne Riley,Partner,Partner,1,"Early-stage B2B, data and AI applications",,https://www.linkedin.com/search/results/people/?keywords=Corinne%20Riley%20Greylock,https://greylock.com/team/corinne-riley/,VERIFIED,"Strong first target for early-stage enterprise AI and customer/GTM workflow."
c_bessemer_droesch,f_bessemer,Mike Droesch,Partner,Partner,1,"AI applications, vertical software, B2B marketplaces",,https://www.linkedin.com/search/results/people/?keywords=Mike%20Droesch%20Bessemer%20Venture%20Partners,https://www.bvp.com/team/mike-droesch,VERIFIED,"Strong vertical-AI target; screen restaurant and commerce portfolio before outreach."
c_emergence_saper,f_emergence,Jake Saper,General Partner,Partner,1,"Enterprise software, AI, future of work",,https://www.linkedin.com/search/results/people/?keywords=Jake%20Saper%20Emergence%20Capital,https://www.emcap.com/team,VERIFIED,"Enterprise SaaS decision-maker candidate; verify the best fit against current investments."
c_costanoa_liu,f_costanoa,Tony Liu,Partner,Partner,1,"Data infrastructure, developer tools, enterprise SaaS",,https://www.linkedin.com/search/results/people/?keywords=Tony%20Liu%20Costanoa%20Ventures,https://www.costanoavc.com/what-i-look-for-in-open-core-data-infrastructure-companies/,VERIFIED,"Best fit when the pitch leads with proprietary data and workflow infrastructure."
c_bowery_brown,f_bowery,Mike Brown Jr.,Managing Partner,Partner,1,"Seed-stage B2B software, GTM, vertical AI",,https://www.linkedin.com/search/results/people/?keywords=Mike%20Brown%20Jr%20Bowery%20Capital,https://bowerycap.com/,VERIFIED,"High-priority target for B2B software and GTM adjacency."
c_nexus_malhotra,f_nexus,Utkarsh Malhotra,Investor,Investor,1,"SaaS, product and growth, India-US corridor",,https://www.linkedin.com/search/results/people/?keywords=Utkarsh%20Malhotra%20Nexus%20Venture%20Partners,https://nexusvp.com/team/utkarsh-malhotra/,VERIFIED,"Corridor-specific target with explicit SaaS interest; confirm cheque ownership."
c_peakxv_singh,f_peakxv,Shailendra Singh,Managing Director,Partner,1,"India-US company building, SaaS, AI, developer tools",,https://www.linkedin.com/search/results/people/?keywords=Shailendra%20Singh%20Peak%20XV%20Partners,https://www.peakxv.com/announcement/launching-peak-xv-partners,VERIFIED,"Senior route; Surge application may be the faster seed access path."
c_together_shankar,f_together,Lakshmi Shankar,General Partner,Partner,1,"AI, product, US-India corridor",,https://www.linkedin.com/search/results/people/?keywords=Lakshmi%20Shankar%20Together%20Fund,https://www.together.fund/about,VERIFIED,"Current general partner named by the firm's official site; validate thesis ownership before outreach."
c_stellaris_goyal,f_stellaris,Alok Goyal,Investor,Partner,1,"Software, healthcare",,https://www.linkedin.com/search/results/people/?keywords=Alok%20Goyal%20Stellaris%20Venture%20Partners,https://www.stellarisvp.com/team,VERIFIED,"Primary software target shown on the current official team page."
