task_id,opportunity_id,firm_id,title,due_date,owner,priority,status,notes,workstream,board_status,task_type,description,acceptance_criteria,blocked_by,sort_order
task_round_setup,,,"Set the real round target, minimum close and lead cheque",,,High,Open,,Track,Ready,Decision,Replace the placeholder round economics before using allocation metrics.,"Round page shows approved target, minimum close, lead target and close date.",,10
task_shortlist,,,Turn the 100+ fund universe into a ranked top 20,,,High,Open,,Research,Ready,Epic,"Use thesis, stage, geography, capacity and conflicts to build the working shortlist.",Twenty engageable firms have a sourced access route and target partner role.,,20
task_conflict_pass,,,"Screen the top 20 against Loop AI, Voosh AI, Superorder and the full watchlist",,,High,Open,,Research,Ready,Check,No outreach begins until portfolio conflict screening is complete.,Every top-20 firm has a dated conflict check with evidence and a resolution.,,30
task_partner_owners,,,Identify the exact partner who owns the thesis at each top-20 fund,,,High,Open,,Talk,Ready,Epic,Use each fund's scoped LinkedIn search then verify on the firm's team page.,Every top-20 firm has one verified decision-maker contact and source URL.,,40
task_fund_vintage,,,Verify the current fund and close date for the top 20,,,High,Open,,Research,Ready,Check,Use the firm's announcement or regulatory filing rather than memory.,"Each top-20 fund vehicle has name, close date, size, source and verification status.",,50
task_check_sizes,,,Confirm check range and lead appetite for the top 20,,,Medium,Open,,Research,Backlog,Check,Separate a published initial check from total capital reserved across rounds.,All top-20 firms have sourced min/max or remain explicitly unknown.,,60
task_intro_paths,,,Map one credible route into each top-10 firm,,,High,Open,,Talk,Backlog,Task,Use warm intros where real; otherwise use the recorded direct or application route.,"Each top-10 firm has a route, owner and next action; no fabricated relationship.",,70
task_linkedin,,,Run the scoped LinkedIn searches for the top 20,,,High,Open,,Talk,Ready,Task,"Look for partners or GPs currently investing in AI, enterprise SaaS or the relevant vertical.",Candidate names are verified against current firm profiles before saving.,,80
task_teaser,,,Finish the non-confidential one-page teaser,,,High,Open,,Apply,In Progress,Task,"Make the wedge, proof and fundraising ask legible without opening the full data room.",Shareable PDF or URL is linked in the data room and marked ready.,,90
task_deck,,,Finish the investor deck and source every market claim,,,High,Open,,Apply,In Progress,Epic,Build the core fundraising narrative for applications and meetings.,"Deck is linked, marked ready, and has a version owner and last-updated date.",,100
task_model,,,Complete the financial model and round use-of-funds,,,High,Open,,Data room,Ready,Task,"Tie assumptions to customer, pricing and hiring evidence.",Model reconciles to historical actuals and supports the requested runway.,,110
task_dataroom_core,,,Complete the restricted legal and finance data-room set,,,High,Open,,Data room,Backlog,Epic,"Cap table, incorporation, IP assignment, prior financings and customer contracts.",All restricted checklist items have secure locations and owners.,,120
task_platform_memo,,,Write the platform-risk and defensibility memo,,,High,Open,,Talk,Backlog,Task,Answer why delivery platforms and marketing suites do not erase the wedge.,"Memo includes product boundaries, data advantage, distribution and proof points.",,130
task_objection_bank,,,Build the first-meeting objection bank,,,Medium,Open,,Talk,Backlog,Task,"Prepare concise evidence-backed responses for market, traction, competition and platform risk.",Every likely objection has a response and evidence reference.,,140
task_yc_decision,,,Decide whether to apply to the next Y Combinator batch,,,High,Open,,Apply,Ready,Decision,Verify the live deadline and evaluate the standard terms against the round plan.,"Decision, rationale, owner and application status are recorded.",,150
task_pearx_decision,,,Decide whether PearX is the right access route,,,High,Open,,Apply,Ready,Decision,Compare the live PearX deadline and program value with direct fundraising.,Decision and rationale are recorded before the verified deadline.,,160
task_first_wave,,,Prepare the first five tailored outreach messages,,,High,Open,,Talk,Blocked,Task,Tailor the hook to each firm's thesis and relevant portfolio without oversharing.,"Five drafts name the target partner, route, why-us-now and one proof point.","task_conflict_pass, task_partner_owners",170
task_process_questions,,,Add decision-process questions to the first-meeting script,,,Medium,Open,,Talk,Ready,Task,"Ask who decides, what gates remain, what references are needed and when a yes/no is possible.","Script captures sponsor, decision makers, gates, timeline and next decision date.",,180
task_weekly_review,,,Run a weekly fundraising review,,,Medium,Open,,Track,Backlog,Task,"Review stage movement, stale threads, applications, objections, allocations and blocked work.",Every active firm and open board item has a dated next action and owner.,,190
